model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,test,118.9098,59.3368,0.5937,False,../models/dt_30_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,train,67.8119,39.0997,0.8654,False,../models/dt_30_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,val,109.5359,64.9195,0.6502,False,../models/dt_30_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,test,110.8957,66.0907,0.6466,False,../models/dt_30_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=10)",hot,train,83.2589,50.2146,0.7971,False,../models/dt_30_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=10)",hot,val,108.6755,65.6995,0.6557,False,../models/dt_30_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=10)",hot,test,108.3169,66.942,0.6629,False,../models/dt_30_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_30_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=20)",hot,val,109.0505,66.7441,0.6533,False,../models/dt_30_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=2, min_samples_leaf=20)",hot,test,107.8125,66.9921,0.666,False,../models/dt_30_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=1)",hot,train,51.4706,27.5919,0.9225,False,../models/dt_30_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=1)",hot,val,110.3506,61.9952,0.645,False,../models/dt_30_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=1)",hot,test,113.3544,63.7131,0.6308,False,../models/dt_30_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=5)",hot,train,67.8119,39.0996,0.8654,False,../models/dt_30_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=5)",hot,val,109.4955,64.9204,0.6505,False,../models/dt_30_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=5)",hot,test,110.6609,66.0133,0.6481,False,../models/dt_30_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=10)",hot,train,83.2584,50.2162,0.7971,False,../models/dt_30_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=10)",hot,val,108.6759,65.7035,0.6557,False,../models/dt_30_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=10)",hot,test,108.3318,66.9427,0.6628,False,../models/dt_30_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_30_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=20)",hot,val,109.0505,66.7441,0.6533,False,../models/dt_30_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=10, min_samples_leaf=20)",hot,test,107.8125,66.9921,0.666,False,../models/dt_30_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=1)",hot,train,69.2812,40.4453,0.8595,False,../models/dt_30_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=1)",hot,val,109.5346,64.1281,0.6502,False,../models/dt_30_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=1)",hot,test,111.0984,65.8169,0.6453,False,../models/dt_30_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=5)",hot,train,77.1155,45.8573,0.826,False,../models/dt_30_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=5)",hot,val,108.6773,65.0043,0.6557,False,../models/dt_30_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=5)",hot,test,109.0611,66.3312,0.6582,False,../models/dt_30_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=10)",hot,train,83.2589,50.2146,0.7971,False,../models/dt_30_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=10)",hot,val,108.6691,65.6909,0.6557,False,../models/dt_30_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=10)",hot,test,108.3346,66.9498,0.6628,False,../models/dt_30_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_30_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=20)",hot,val,109.0509,66.74,0.6533,False,../models/dt_30_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=20, min_samples_leaf=20)",hot,test,107.8125,66.9921,0.666,False,../models/dt_30_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=1)",hot,train,77.6429,46.5213,0.8236,False,../models/dt_30_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=1)",hot,val,108.5491,64.6325,0.6565,False,../models/dt_30_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=1)",hot,test,109.7298,66.0826,0.654,False,../models/dt_30_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=5)",hot,train,82.7318,50.1351,0.7997,False,../models/dt_30_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=5)",hot,val,108.1655,65.3299,0.6589,False,../models/dt_30_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=5)",hot,test,109.3225,67.0004,0.6566,False,../models/dt_30_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=10)",hot,train,86.7977,52.825,0.7795,False,../models/dt_30_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=10)",hot,val,108.3955,65.8845,0.6575,False,../models/dt_30_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=10)",hot,test,109.023,67.4709,0.6585,False,../models/dt_30_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_30_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=20)",hot,val,109.0473,66.736,0.6533,False,../models/dt_30_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=30, min_samples_split=30, min_samples_leaf=20)",hot,test,107.8093,66.9848,0.666,False,../models/dt_30_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=1)",hot,train,1.311,0.0539,0.9999,False,../models/dt_40_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=1)",hot,val,114.0365,57.2564,0.6209,False,../models/dt_40_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=1)",hot,test,119.6398,59.8601,0.5887,False,../models/dt_40_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=5)",hot,train,67.697,38.9204,0.8659,False,../models/dt_40_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=5)",hot,val,109.4683,64.8475,0.6506,False,../models/dt_40_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=5)",hot,test,110.6642,65.9447,0.6481,False,../models/dt_40_depth_2_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=10)",hot,train,83.2462,50.1956,0.7972,False,../models/dt_40_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=10)",hot,val,108.6727,65.7006,0.6557,False,../models/dt_40_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=10)",hot,test,108.3875,66.9647,0.6624,False,../models/dt_40_depth_2_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_40_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=20)",hot,val,109.0507,66.7392,0.6533,False,../models/dt_40_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=2, min_samples_leaf=20)",hot,test,107.8125,66.9921,0.666,False,../models/dt_40_depth_2_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=1)",hot,train,51.0924,27.1164,0.9236,False,../models/dt_40_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=1)",hot,val,111.3826,62.3494,0.6383,False,../models/dt_40_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=1)",hot,test,113.5681,63.7869,0.6294,False,../models/dt_40_depth_10_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=5)",hot,train,67.6973,38.9188,0.8659,False,../models/dt_40_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=5)",hot,val,109.516,64.8868,0.6503,False,../models/dt_40_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=5)",hot,test,110.8057,66.011,0.6472,False,../models/dt_40_depth_10_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=10)",hot,train,83.2462,50.1956,0.7972,False,../models/dt_40_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=10)",hot,val,108.6732,65.7024,0.6557,False,../models/dt_40_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=10)",hot,test,108.3648,66.9419,0.6626,False,../models/dt_40_depth_10_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_40_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=20)",hot,val,109.0509,66.74,0.6533,False,../models/dt_40_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=10, min_samples_leaf=20)",hot,test,107.8125,66.9921,0.666,False,../models/dt_40_depth_10_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=1)",hot,train,69.1074,40.1974,0.8602,False,../models/dt_40_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=1)",hot,val,109.1563,63.9611,0.6526,False,../models/dt_40_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=1)",hot,test,110.8487,65.7222,0.6469,False,../models/dt_40_depth_20_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=5)",hot,train,77.0453,45.745,0.8263,False,../models/dt_40_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=5)",hot,val,108.5882,64.8955,0.6562,False,../models/dt_40_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=5)",hot,test,109.0335,66.2591,0.6584,False,../models/dt_40_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=10)",hot,train,83.2462,50.1956,0.7972,False,../models/dt_40_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=10)",hot,val,108.6796,65.7111,0.6557,False,../models/dt_40_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=10)",hot,test,108.3836,66.9574,0.6625,False,../models/dt_40_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_40_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=20)",hot,val,109.0477,66.7319,0.6533,False,../models/dt_40_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=20, min_samples_leaf=20)",hot,test,107.8093,66.9848,0.666,False,../models/dt_40_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=1)",hot,train,77.5324,46.3658,0.8241,False,../models/dt_40_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=1)",hot,val,108.5671,64.6342,0.6564,False,../models/dt_40_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=1)",hot,test,109.6389,66.0416,0.6546,False,../models/dt_40_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=5)",hot,train,82.6828,50.058,0.7999,False,../models/dt_40_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=5)",hot,val,108.1586,65.3091,0.659,False,../models/dt_40_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=5)",hot,test,109.3493,66.9717,0.6564,False,../models/dt_40_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=10)",hot,train,86.7917,52.8156,0.7795,False,../models/dt_40_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=10)",hot,val,108.3939,65.8845,0.6575,False,../models/dt_40_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=10)",hot,test,109.0205,67.4627,0.6585,False,../models/dt_40_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_40_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=20)",hot,val,109.0475,66.7368,0.6533,False,../models/dt_40_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=40, min_samples_split=30, min_samples_leaf=20)",hot,test,107.8093,66.9848,0.666,False,../models/dt_40_depth_30_minsplit_20_minleaf_hot.pkl
