model,dataset,split,rmse,mae,r2,inversed,model_path
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,test,109.0013,66.2073,0.6586,False,../models/dt_None_depth_20_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,train,83.2467,50.194,0.7972,False,../models/dt_None_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,val,108.6781,65.703,0.6557,False,../models/dt_None_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,test,108.3839,66.9563,0.6625,False,../models/dt_None_depth_20_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_None_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,val,109.0473,66.736,0.6533,False,../models/dt_None_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,test,107.8093,66.9848,0.666,False,../models/dt_None_depth_20_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,train,77.5374,46.3722,0.8241,False,../models/dt_None_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,val,108.5026,64.676,0.6568,False,../models/dt_None_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,test,109.6961,66.1046,0.6542,False,../models/dt_None_depth_30_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,train,82.6828,50.058,0.7999,False,../models/dt_None_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,val,108.1532,65.2981,0.659,False,../models/dt_None_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,test,109.3151,66.9496,0.6566,False,../models/dt_None_depth_30_minsplit_5_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,train,86.7917,52.8156,0.7795,False,../models/dt_None_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,val,108.3975,65.89,0.6574,False,../models/dt_None_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,test,109.0208,67.4646,0.6585,False,../models/dt_None_depth_30_minsplit_10_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,train,93.6564,57.7775,0.7433,False,../models/dt_None_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,val,109.0509,66.74,0.6533,False,../models/dt_None_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,test,107.8125,66.9921,0.666,False,../models/dt_None_depth_30_minsplit_20_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,train,96.992,61.7872,0.7247,False,../models/dt_10_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,val,109.823,67.319,0.6484,False,../models/dt_10_depth_2_minsplit_1_minleaf_hot.pkl
"DecisionTreeRegressor (max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,test,113.9984,70.1139,0.6266,False,../models/dt_10_depth_2_minsplit_1_minleaf_hot.pkl
