model,dataset,split,rmse,mae,r2,inversed,model_path
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=1)",hot,test,95.685,58.9034,0.7369,False,../models/rf_100_estimators_None_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,train,76.985,46.1303,0.8265,False,../models/rf_100_estimators_None_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,val,97.7565,59.0895,0.7214,False,../models/rf_100_estimators_None_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=5)",hot,test,98.0187,60.1534,0.7239,False,../models/rf_100_estimators_None_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,train,82.6951,49.9482,0.7999,False,../models/rf_100_estimators_None_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,val,99.4752,60.3093,0.7115,False,../models/rf_100_estimators_None_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=10)",hot,test,100.0158,61.6852,0.7126,False,../models/rf_100_estimators_None_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,train,93.0545,57.2023,0.7466,False,../models/rf_100_estimators_None_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,val,102.9341,63.0984,0.6911,False,../models/rf_100_estimators_None_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=20, min_samples_leaf=20)",hot,test,103.404,64.1886,0.6928,False,../models/rf_100_estimators_None_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,train,76.7552,47.5505,0.8276,False,../models/rf_100_estimators_None_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,val,97.6181,59.5889,0.7222,False,../models/rf_100_estimators_None_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=1)",hot,test,97.8488,60.7221,0.7249,False,../models/rf_100_estimators_None_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,train,82.3057,50.0453,0.8017,False,../models/rf_100_estimators_None_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,val,99.2709,60.324,0.7127,False,../models/rf_100_estimators_None_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=5)",hot,test,99.6887,61.4757,0.7144,False,../models/rf_100_estimators_None_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,train,86.2441,52.4548,0.7823,False,../models/rf_100_estimators_None_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,val,100.2911,60.9914,0.7068,False,../models/rf_100_estimators_None_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=10)",hot,test,100.8545,62.3728,0.7077,False,../models/rf_100_estimators_None_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,train,93.165,57.2421,0.746,False,../models/rf_100_estimators_None_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,val,103.003,63.148,0.6907,False,../models/rf_100_estimators_None_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=None, min_samples_split=30, min_samples_leaf=20)",hot,test,103.4584,64.2858,0.6924,False,../models/rf_100_estimators_None_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,train,91.9388,59.8042,0.7526,False,../models/rf_100_estimators_10_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,val,103.6895,64.6984,0.6866,False,../models/rf_100_estimators_10_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=1)",hot,test,104.7846,66.5067,0.6845,False,../models/rf_100_estimators_10_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,train,95.5136,61.1752,0.733,False,../models/rf_100_estimators_10_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,val,104.8239,65.2112,0.6797,False,../models/rf_100_estimators_10_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=5)",hot,test,105.8162,66.9722,0.6783,False,../models/rf_100_estimators_10_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,train,98.1846,62.4021,0.7179,False,../models/rf_100_estimators_10_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,val,105.5482,65.547,0.6752,False,../models/rf_100_estimators_10_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=10)",hot,test,106.2019,67.2502,0.6759,False,../models/rf_100_estimators_10_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,train,101.074,63.9361,0.701,False,../models/rf_100_estimators_10_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,val,106.668,66.3599,0.6683,False,../models/rf_100_estimators_10_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=2, min_samples_leaf=20)",hot,test,107.2911,67.8252,0.6692,False,../models/rf_100_estimators_10_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,train,93.9224,60.7579,0.7418,False,../models/rf_100_estimators_10_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,val,104.1344,64.9242,0.6839,False,../models/rf_100_estimators_10_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=1)",hot,test,105.5879,67.0304,0.6796,False,../models/rf_100_estimators_10_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,train,95.5061,61.14,0.7331,False,../models/rf_100_estimators_10_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,val,104.6661,65.1905,0.6806,False,../models/rf_100_estimators_10_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=5)",hot,test,105.8279,66.9778,0.6782,False,../models/rf_100_estimators_10_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,train,98.2679,62.5113,0.7174,False,../models/rf_100_estimators_10_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,val,105.5917,65.644,0.6749,False,../models/rf_100_estimators_10_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=10)",hot,test,106.3649,67.3321,0.6749,False,../models/rf_100_estimators_10_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,train,100.9766,63.892,0.7016,False,../models/rf_100_estimators_10_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,val,106.7041,66.322,0.6681,False,../models/rf_100_estimators_10_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=10, min_samples_leaf=20)",hot,test,107.0996,67.7008,0.6704,False,../models/rf_100_estimators_10_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,train,95.7767,61.6904,0.7315,False,../models/rf_100_estimators_10_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=10, min_samples_split=20, min_samples_leaf=1)",hot,val,104.6691,65.2886,0.6806,False,../models/rf_100_estimators_10_depth_20_minsplit_1_minleaf_hot.pkl
