model,dataset,split,rmse,mae,r2,inversed,model_path
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,val,103.0773,63.2287,0.6902,False,../models/rf_100_estimators_20_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=20, min_samples_leaf=20)",hot,test,103.3774,64.2218,0.6929,False,../models/rf_100_estimators_20_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,train,78.3461,49.0927,0.8204,False,../models/rf_100_estimators_20_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,val,97.955,59.9249,0.7203,False,../models/rf_100_estimators_20_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=1)",hot,test,98.5725,61.182,0.7208,False,../models/rf_100_estimators_20_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,train,83.2385,50.9408,0.7972,False,../models/rf_100_estimators_20_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,val,99.4763,60.6068,0.7115,False,../models/rf_100_estimators_20_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=5)",hot,test,99.8626,61.7531,0.7134,False,../models/rf_100_estimators_20_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,train,86.6798,52.9642,0.7801,False,../models/rf_100_estimators_20_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,val,100.5679,61.2873,0.7051,False,../models/rf_100_estimators_20_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=10)",hot,test,100.9716,62.5691,0.707,False,../models/rf_100_estimators_20_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,train,93.3171,57.4176,0.7451,False,../models/rf_100_estimators_20_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,val,103.102,63.304,0.6901,False,../models/rf_100_estimators_20_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=20, min_samples_split=30, min_samples_leaf=20)",hot,test,103.3133,64.2385,0.6933,False,../models/rf_100_estimators_20_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,train,32.5223,19.4872,0.969,False,../models/rf_100_estimators_30_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,val,88.521,51.7586,0.7716,False,../models/rf_100_estimators_30_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=1)",hot,test,88.1688,52.6411,0.7766,False,../models/rf_100_estimators_30_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,train,68.5249,40.0598,0.8626,False,../models/rf_100_estimators_30_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,val,95.5658,57.2807,0.7337,False,../models/rf_100_estimators_30_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=5)",hot,test,96.4145,58.6345,0.7329,False,../models/rf_100_estimators_30_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=10)",hot,train,82.7622,49.9257,0.7995,False,../models/rf_100_estimators_30_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=10)",hot,val,99.5286,60.2598,0.7112,False,../models/rf_100_estimators_30_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=10)",hot,test,100.0234,61.653,0.7125,False,../models/rf_100_estimators_30_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=20)",hot,train,93.1774,57.2909,0.7459,False,../models/rf_100_estimators_30_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=20)",hot,val,102.9576,63.1508,0.691,False,../models/rf_100_estimators_30_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=2, min_samples_leaf=20)",hot,test,103.2767,64.2153,0.6935,False,../models/rf_100_estimators_30_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=1)",hot,train,54.6553,32.7793,0.9126,False,../models/rf_100_estimators_30_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=1)",hot,val,92.4687,55.081,0.7507,False,../models/rf_100_estimators_30_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=1)",hot,test,92.4843,56.1938,0.7542,False,../models/rf_100_estimators_30_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=5)",hot,train,68.3866,40.0038,0.8631,False,../models/rf_100_estimators_30_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=5)",hot,val,95.8123,57.2357,0.7324,False,../models/rf_100_estimators_30_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=5)",hot,test,96.0316,58.5359,0.735,False,../models/rf_100_estimators_30_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=10)",hot,train,82.856,50.0082,0.7991,False,../models/rf_100_estimators_30_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=10)",hot,val,99.6218,60.3019,0.7107,False,../models/rf_100_estimators_30_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=10)",hot,test,100.0046,61.6914,0.7126,False,../models/rf_100_estimators_30_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=20)",hot,train,93.1753,57.2449,0.7459,False,../models/rf_100_estimators_30_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=20)",hot,val,102.9594,63.1441,0.691,False,../models/rf_100_estimators_30_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=10, min_samples_leaf=20)",hot,test,103.5557,64.3723,0.6919,False,../models/rf_100_estimators_30_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=1)",hot,train,69.0038,42.3473,0.8606,False,../models/rf_100_estimators_30_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=1)",hot,val,95.2147,57.6415,0.7357,False,../models/rf_100_estimators_30_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=1)",hot,test,95.7261,59.0131,0.7367,False,../models/rf_100_estimators_30_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=5)",hot,train,77.0257,46.182,0.8264,False,../models/rf_100_estimators_30_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=5)",hot,val,97.9301,59.138,0.7204,False,../models/rf_100_estimators_30_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=5)",hot,test,98.1869,60.2186,0.723,False,../models/rf_100_estimators_30_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=10)",hot,train,82.7542,49.9499,0.7996,False,../models/rf_100_estimators_30_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=10)",hot,val,99.6424,60.3344,0.7105,False,../models/rf_100_estimators_30_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=10)",hot,test,99.8382,61.5455,0.7136,False,../models/rf_100_estimators_30_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=20)",hot,train,93.1198,57.1919,0.7462,False,../models/rf_100_estimators_30_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=20)",hot,val,102.8199,62.9536,0.6918,False,../models/rf_100_estimators_30_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=20, min_samples_leaf=20)",hot,test,103.2683,64.197,0.6936,False,../models/rf_100_estimators_30_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=1)",hot,train,76.8382,47.5283,0.8272,False,../models/rf_100_estimators_30_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=1)",hot,val,97.453,59.4166,0.7231,False,../models/rf_100_estimators_30_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=1)",hot,test,97.9536,60.6392,0.7243,False,../models/rf_100_estimators_30_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=5)",hot,train,82.5868,50.1784,0.8004,False,../models/rf_100_estimators_30_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=5)",hot,val,99.3542,60.3237,0.7122,False,../models/rf_100_estimators_30_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=5)",hot,test,99.8822,61.5935,0.7133,False,../models/rf_100_estimators_30_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=10)",hot,train,86.3243,52.4664,0.7819,False,../models/rf_100_estimators_30_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=10)",hot,val,100.4037,61.0272,0.7061,False,../models/rf_100_estimators_30_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=10)",hot,test,100.8636,62.4219,0.7077,False,../models/rf_100_estimators_30_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=20)",hot,train,93.2098,57.2807,0.7457,False,../models/rf_100_estimators_30_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=20)",hot,val,102.8897,63.1205,0.6914,False,../models/rf_100_estimators_30_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=30, min_samples_split=30, min_samples_leaf=20)",hot,test,103.3831,64.2313,0.6929,False,../models/rf_100_estimators_30_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=1)",hot,train,32.5258,19.145,0.969,False,../models/rf_100_estimators_40_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=1)",hot,val,88.5917,51.517,0.7712,False,../models/rf_100_estimators_40_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=1)",hot,test,87.9941,52.4517,0.7775,False,../models/rf_100_estimators_40_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=5)",hot,train,68.5413,40.0597,0.8625,False,../models/rf_100_estimators_40_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=5)",hot,val,95.6862,57.3874,0.7331,False,../models/rf_100_estimators_40_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=5)",hot,test,96.2154,58.5952,0.734,False,../models/rf_100_estimators_40_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=10)",hot,train,82.8565,50.0109,0.7991,False,../models/rf_100_estimators_40_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=10)",hot,val,99.7897,60.4408,0.7097,False,../models/rf_100_estimators_40_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=10)",hot,test,100.1206,61.7512,0.712,False,../models/rf_100_estimators_40_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=20)",hot,train,93.1859,57.2754,0.7459,False,../models/rf_100_estimators_40_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=20)",hot,val,103.0445,63.172,0.6904,False,../models/rf_100_estimators_40_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=2, min_samples_leaf=20)",hot,test,103.2453,64.1973,0.6937,False,../models/rf_100_estimators_40_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=1)",hot,train,54.4875,32.5684,0.9131,False,../models/rf_100_estimators_40_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=1)",hot,val,92.3039,54.9755,0.7516,False,../models/rf_100_estimators_40_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=1)",hot,test,92.2182,55.9243,0.7556,False,../models/rf_100_estimators_40_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=5)",hot,train,68.3594,40.052,0.8632,False,../models/rf_100_estimators_40_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=5)",hot,val,95.6928,57.4014,0.733,False,../models/rf_100_estimators_40_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=5)",hot,test,96.21,58.5854,0.734,False,../models/rf_100_estimators_40_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=10)",hot,train,82.7779,49.9379,0.7995,False,../models/rf_100_estimators_40_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=10)",hot,val,99.5078,60.3433,0.7113,False,../models/rf_100_estimators_40_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=10)",hot,test,99.9734,61.7273,0.7128,False,../models/rf_100_estimators_40_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=20)",hot,train,93.1106,57.1768,0.7463,False,../models/rf_100_estimators_40_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=20)",hot,val,102.825,63.0545,0.6918,False,../models/rf_100_estimators_40_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=10, min_samples_leaf=20)",hot,test,103.3337,64.194,0.6932,False,../models/rf_100_estimators_40_depth_10_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=1)",hot,train,69.0796,42.3448,0.8603,False,../models/rf_100_estimators_40_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=1)",hot,val,95.3746,57.702,0.7348,False,../models/rf_100_estimators_40_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=1)",hot,test,95.5926,59.0335,0.7374,False,../models/rf_100_estimators_40_depth_20_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=5)",hot,train,77.0605,46.1952,0.8262,False,../models/rf_100_estimators_40_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=5)",hot,val,97.8579,59.0976,0.7208,False,../models/rf_100_estimators_40_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=5)",hot,test,98.0853,60.2082,0.7236,False,../models/rf_100_estimators_40_depth_20_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=10)",hot,train,82.803,49.9751,0.7993,False,../models/rf_100_estimators_40_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=10)",hot,val,99.6275,60.3976,0.7106,False,../models/rf_100_estimators_40_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=10)",hot,test,99.9679,61.6681,0.7128,False,../models/rf_100_estimators_40_depth_20_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=20)",hot,train,93.1736,57.2432,0.7459,False,../models/rf_100_estimators_40_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=20)",hot,val,102.9272,63.1587,0.6911,False,../models/rf_100_estimators_40_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=20, min_samples_leaf=20)",hot,test,103.3324,64.2173,0.6932,False,../models/rf_100_estimators_40_depth_20_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=1)",hot,train,76.7953,47.5009,0.8274,False,../models/rf_100_estimators_40_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=1)",hot,val,97.4995,59.4919,0.7229,False,../models/rf_100_estimators_40_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=1)",hot,test,97.7905,60.6417,0.7252,False,../models/rf_100_estimators_40_depth_30_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=5)",hot,train,82.4697,50.0695,0.801,False,../models/rf_100_estimators_40_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=5)",hot,val,99.2412,60.2957,0.7129,False,../models/rf_100_estimators_40_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=5)",hot,test,99.8369,61.5407,0.7136,False,../models/rf_100_estimators_40_depth_30_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=10)",hot,train,86.3229,52.5013,0.7819,False,../models/rf_100_estimators_40_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=10)",hot,val,100.505,61.1159,0.7055,False,../models/rf_100_estimators_40_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=10)",hot,test,100.9539,62.5088,0.7071,False,../models/rf_100_estimators_40_depth_30_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=20)",hot,train,93.1902,57.2574,0.7458,False,../models/rf_100_estimators_40_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=20)",hot,val,103.1069,63.2035,0.6901,False,../models/rf_100_estimators_40_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=100, max_depth=40, min_samples_split=30, min_samples_leaf=20)",hot,test,103.2839,64.1781,0.6935,False,../models/rf_100_estimators_40_depth_30_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,train,31.9617,18.9198,0.9701,False,../models/rf_200_estimators_None_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,val,88.083,51.3099,0.7738,False,../models/rf_200_estimators_None_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=1)",hot,test,87.7536,52.2149,0.7787,False,../models/rf_200_estimators_None_depth_2_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,train,68.2078,39.9037,0.8638,False,../models/rf_200_estimators_None_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,val,95.7938,57.3001,0.7325,False,../models/rf_200_estimators_None_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=5)",hot,test,96.0951,58.4423,0.7347,False,../models/rf_200_estimators_None_depth_2_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,train,82.6893,49.8606,0.7999,False,../models/rf_200_estimators_None_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,val,99.6366,60.2639,0.7106,False,../models/rf_200_estimators_None_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=10)",hot,test,100.0031,61.5639,0.7126,False,../models/rf_200_estimators_None_depth_2_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,train,93.0877,57.1614,0.7464,False,../models/rf_200_estimators_None_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,val,102.7677,63.0061,0.6921,False,../models/rf_200_estimators_None_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=2, min_samples_leaf=20)",hot,test,103.1132,64.064,0.6945,False,../models/rf_200_estimators_None_depth_2_minsplit_20_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,train,54.1605,32.4178,0.9142,False,../models/rf_200_estimators_None_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,val,91.8694,54.8591,0.7539,False,../models/rf_200_estimators_None_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=1)",hot,test,92.0955,55.965,0.7563,False,../models/rf_200_estimators_None_depth_10_minsplit_1_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,train,68.2571,39.9144,0.8636,False,../models/rf_200_estimators_None_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,val,95.5982,57.1996,0.7336,False,../models/rf_200_estimators_None_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=5)",hot,test,96.1567,58.4739,0.7343,False,../models/rf_200_estimators_None_depth_10_minsplit_5_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=10)",hot,train,82.6544,49.8927,0.8001,False,../models/rf_200_estimators_None_depth_10_minsplit_10_minleaf_hot.pkl
"RandomForestRegressor (n_estimators=200, max_depth=None, min_samples_split=10, min_samples_leaf=10)",hot,val,99.4955,60.2526,0.7114,False,../models/rf_200_estimators_None_depth_10_minsplit_10_minleaf_hot.pkl
